Breed Name,Description,Dog Size,Dog Breed Group,Height,"Avg. Height, cm",Weight,"Avg. Weight, kg",Life Span,"Avg. Life Span, years",Adaptability,Adapts Well To Apartment Living,Good For Novice Owners,Sensitivity Level,Tolerates Being Alone,Tolerates Cold Weather,Tolerates Hot Weather,All Around Friendliness,Affectionate With Family,Kid-Friendly,Dog Friendly,Friendly Toward Strangers,Health And Grooming Needs,Amount Of Shedding,Drooling Potential,Easy To Groom,General Health,Potential For Weight Gain,Size,Trainability,Easy To Train,Intelligence,Potential For Mouthiness,Prey Drive,Tendency To Bark Or Howl,Wanderlust Potential,Physical Needs,Energy Level,Intensity,Exercise Needs,Potential For Playfulness
Afador,"Afadors, a mix of Afghan Hound and Labrador Retriever, inherit the intelligence and loyalty of both parent breeds. Their striking appearance, with flowing coats reminiscent of the Afghan Hound and sturdy build akin to Labradors, makes them captivating companions.",Very Large,Mixed Breed Dogs,20 to 29 inches,62.23,50 to 75 pounds,28.12,10 to 12 years,11,2.4,1,1,3,3,4,2,3,4,2,3,1,3.2,4,3,2,3,4,4,3.6,1,5,4,4,4,4,4,4,4,4,3
Affenhuahua,"Combining the spunky personality of Affenpinschers with the tiny size of Chihuahuas, Affenhuahuas are lively, affectionate dogs. Their expressive faces, characterized by the Affenpinscher's monkey-like features, add charm to their playful demeanor.",Small,Mixed Breed Dogs,6 to 12 inches,22.86,4 to 12 pounds,3.6,13 to 18 years,16,3,4,4,4,1,2,3,3,4,3,2,2,3.2,2,1,4,4,5,1,3.2,3,3,4,2,4,2,3.33,4,3,3,3
Affenpinscher,"Affectionately dubbed the ""monkey terrier,"" Affenpinschers are small but spirited dogs with a fearless attitude. Their wiry coats and distinctive facial expressions, resembling that of a mischievous monkey, make them stand out in any crowd.",Small,Companion Dogs,9 to 11 inches tall at the shoulder,25.4,7 to 9 pounds,3.6,12 to 14 years,13,3.2,5,4,3,1,3,3,3.33,5,1,4,3,2.4,1,1,3,4,3,1,3,2,4,4,3,2,2,3.33,4,3,3,4
Afghan Hound,"Originating from Afghanistan, Afghan Hounds are renowned for their regal appearance and graceful movement. Their long, flowing coats and slender build reflect their heritage as hunters in the mountainous regions, where they were prized for their speed and agility.",Very Large,Hound Dogs,24 to 26 inches tall at the shoulder,63.5,50 to 60 pounds,24.75,10 to 12 years,11,4,5,3,5,2,5,5,4.67,5,5,4,2,2,4,1,1,3,1,4,3,1,4,3,5,2,5,3.67,5,2,4,4
Airedale Terrier,"Airedales, the largest of the terrier breeds, are versatile and intelligent dogs with a courageous nature. Their distinctive wiry coat and keen expression convey their confidence and readiness for any task.",Very Large,Terrier Dogs,21 to 23 inches tall at the shoulder,55.88,40 to 65 pounds,23.62,10 to 13 years,12,2.2,1,2,3,2,3,3,4,4,4,4,3,2.4,2,1,2,3,4,3,4.6,4,5,5,5,4,4,4.33,5,3,5,5
Akbash,"Known for their imposing size and white coat, Akbash dogs are Turkish livestock guardians with a calm demeanor. Their protective instincts make them ideal guardians, while their gentle disposition endears them to their families.",Very Large,Working Dogs,27 to 34 inches,77.47,75 to 140 pounds,48.38,10 to 12 years,11,2.8,1,2,3,4,4,2,4,5,4,3,2,3.4,4,2,3,4,4,4,2.8,3,4,3,1,3,1,2,2,2,2,3
Akita,"Originally bred in Japan, Akitas are powerful and dignified dogs with a deep loyalty to their families. Their bear-like appearance, characterized by a plush double coat and curled tail, adds to their majestic aura.",Very Large,Working Dogs,24 inches to 28 tall at the shoulder,66.04,70 to 130 pounds,45,10 to 12 years,11,3,2,2,5,1,5,2,2.33,5,1,1,2,3.8,5,5,1,4,4,4,3.4,2,3,3,4,5,4,3.67,4,3,4,5
Akita Chow,"A blend of Akita and Chow Chow, Akita Chows inherit traits from both parent breeds, including loyalty, intelligence, and a distinctive fluffy appearance. Their striking presence and devoted nature make them cherished companions.",Very Large,Mixed Breed Dogs,23 to 25 inches,60.96,88 to 145 pounds,52.42,10 to 12 years ,11,2.8,2,1,4,2,5,2,1,1,1,1,2,2.8,4,3,1,2,4,4,3,2,4,3,4,2,3,4,4,4,4,2
Akita Pit,"Mixing the strength of the Akita with the athleticism of the American Pit Bull Terrier, Akita Pits are robust, affectionate dogs with a protective streak. Their loving disposition toward their families contrasts their imposing stature.",Very Large,Mixed Breed Dogs,16 to 23 inches,49.53,30 to 70 pounds,22.5,10 to 12 years,11,2.6,3,1,2,4,3,3,3.33,4,3,3,2,3.6,3,3,4,4,4,4,3.4,3,4,3,4,3,1,3.33,3,4,3,3
Akita Shepherd,"Combining the noble qualities of Akita and German Shepherd breeds, Akita Shepherds are intelligent and loyal companions. Their striking appearance and protective instincts make them excellent guardians for their families.",Very Large,Mixed Breed Dogs,24 to 28 inches,66.04,75 to 120 pounds,43.88,10 to 13 years,12,3,3,3,2,3,4,3,3.33,4,3,3,3,3,4,2,3,3,3,4,2.8,4,4,2,3,1,2,3.33,3,3,4,3
